Equipo,Goles
Liverpool,144
Bayern,139
Real Madrid,138
Man. City,105
Paris,98
Barcelona,90
Chelsea,85
Juventus,80
Ajax,74
Porto,66
Dortmund,60
Benfica,57
Napoli,57
Leipzig,56
Tottenham,46
Atlético,45
Shakhtar Donetsk,42
Salzburg,41
Atalanta,40
Sevilla,39
Man. United,37
Roma,35
Club Brugge,32
Man City,32
Sporting CP,30
Inter,28
Paris Saint-Germain,27
Lyon,27
Bayern Munich,26
Internazionale,23
Zenit,21
Milan,21
Manchester City,20
Villarreal,20
Valencia,19
Tottenham Hotspur,18
Mönchengladbach,16
Besiktas,15
Olympiacos,14
Dinamo Zagreb,14
Manchester United,13
Basel,13
Lokomotiv Moskva,13
Lazio,13
Plzen,12
LOSC,12
Hoffenheim,11
Young Boys,11
RB Leipzig,10
Marseille,10
Celtic,9
Spartak Moscow,9
Leverkusen,9
CSKA Moscow,8
Monaco,8
Crvena zvezda,8
Schalke,8
CSKA Moskva,8
Borussia Dortmund,7
Istanbul Basaksehir,7
Sheriff,7
M. Haifa,7
Frankfurt,7
PSV,6
Galatasaray,6
Krasnodar,6
Atlético Madrid,5
Feyenoord,5
Genk,5
Dynamo Kyiv,5
Ferencváros,5
Wolfsburg,5
Slavia Praha,4
Midtjylland,4
Maribor,3
Rennes,3
Anderlecht,2
Qarabag,2
APOEL,2
AEK,2
Rangers,2
Malmö,1
Copenhagen,1